Heading,Meaning,Units
Date,Day of Month,
Location,City in Austrailia ,
MinTemp,Minimum temperature in the 24 hours to 9am Sometimes only known to the nearest whole degree,degrees Celsius
MaxTemp,Maximum temperaure in the 24 hours from 9am Sometimes only known to the nearest whole degree,degrees Celsius
Rainfall,Precipitation (rainfall) in the 24 hours to 9am Sometimes only known to the nearest whole millimetre,millimetres
Evaporation ,Class A pan evaporation in the 24 hours to 9am,millimetres
Sunshine,Bright sunshine in the 24 hours to midnight,hours
WindGustDir,Direction of strongest gust in the 24 hours to midnight,16 compass points
WindGustSpeed,Speed of strongest wind gust in the 24 hours to midnight,kilometres per hour
Temp9am,Temperature at 9am,degrees Celsius
Humidity9am,Relative humidity at 9am,percent
Cloud9am,Fraction of sky obscured by cloud at 9am,eighths
WindDir9am,Wind direction averaged over 10 minutes prior to 9am,16 compass points
WindSpeed9am,Wind speed averaged over 10 minutes prior to 9am,kilometres per hour
Pressure9am,Atmospheric pressure reduced to mean sea level at 9am,hectopascals
Temp3pm,Temperature at 3pm,degrees Celsius
Humidity3pm,Relative humidity at 3pm,percent
Cloud3pm,Fraction of sky obscured by cloud at 3pm,eighths
WindDir3pm,Wind direction averaged over 10 minutes prior to 3pm,16 compass points
WindSpeed3pm,Wind speed averaged over 10 minutes prior to 3pm,kilometres per hour
Pressure3pm,Atmospheric pressure reduced to mean sea level at 3pm,hectopascals
RainToday ,"Yes if the rain for today is 1mm or more, No if otherwise  ",1 if Yes- 0 if No 
RainTomorrow ,"Yes if the rain for tomorrow is 1mm or more, No if otherwise  (target variable to predict )",1 if Yes- 0 if No 